Sudoku,solution
000A0G020B76C08005E0700000C1630AD0090A0B0E0510000600F00000A090B0000D00003009A450E000001F05B0D20000008306000000000CB0000G000007F86000DC004057000007500000800D0F0C090F0800EC000B0D0E080960000A7000B0A01600F90040008F00070002D0E0005070B0900AE000039D0CE03007G80100,14FA3GE29B76CD8525EB7D89GFC1634AD3C96A4B2E851G7FG687F1C5D4A39EB2F16DCEB73829A45GE893A41F75BGD2C67AG58326CD4FB9E14CB295DGA61E37F86B2GDCF143578A9E3754GBAE819D2F6CA91F5874EC62GB3DCED82963BGFA7514B2AE165DF93C48G78F3147GC52DBE6A95G76B2981AE4FCD39D4CEF3A67G8512B
AFG090EC08400700400500D8B900C00E7602B00A0GF00093E00920070300B0A0001002A0009300F0B4FA000G100060050E000D0B00000A070903F00007E0000850A07C604F00EB000DC0E0000000F000000000000E0000790B00000080000C0D9004000000C0AEDF0G0D600902300040006FC07D0054000000700001000B0820,AFGB93EC2846D7514135GFD8B97AC26E76D2B15ACGFE8493EC892647D315BFAGC71852AE6B93GDF4B4FA873G1C2D69E5GE261D9B548F3AC7D953F4C6A7EG21B858AG7C634FD9EB126DC7E91435B2FG8A2341DB8FGEAC5679FB9EAG2581674C3D95B438G276C1AEDF1GED6AB9F238754C826FCE7D9A5413GB3A7C45F1EDGB9826
0B0D2F0EA0G0000000CA05000040E00070060CG00050D000040000A10B80050900000000E0000470068G0000009F0020037F605CB002008090AED0B8C400500FG0010D008C0000640040E0009000000C0D00B00050E023G0050300100FD7000AE0000A9000607C000A90860F000040D56000700D0000F0E008000EC0000A09B6,3B5D2F8EA9GC67418GCA95D63741EBF279164CGBF25ED8A3F4E237A16B8DG5C951BCF92GE638A47D468GA3E7D59FC12BD37F645CBA129G8E92AED1B8C47G563FGE215D798CA3BF64A748E2F39GB61D5CCDF9B86A51E423G7B563CG142FD78E9AEFDBGA9243657C181A97863FGECB42D56C357B4D1829FAEG28G41EC57DFA39B6
C0G0009F0D0020EA0000000EFB9045000000600800100B0904085000E70A1F030E0CD0FA080B9030000000000000A056004DE00B0A0F0C000000000050700000000E186095C0030B0A00F03D02E00800000500C90000D600600000E4A3FD500002B080A30F60G0700F0020007C0000D800D00046BEA000F00090B000G0500000,C5GB419F3D8627EA17A6G32EFB9C458DD3EF6A782415CBG994285DBCE7GA1F637E5CD6FA482B9G318BF237G1C9DEA456G64DE95B1A3F8C27391AC482567GEDBF2D7E186G95C4F3ABBAC4F53D62E1789GF135A2C98GB7D64E6G897BE4A3FD521C42B18CA3DF69GE75AF6G2E157C43B9D85CD79G46BEA831F2E893BFD7G1526AC4
000003C00060000502D00000E00F7000C9000040D000A00E00BE0008070030000B00DGE053F006000E00100BC2000000107000604000000A8F403050A6900017E0F8600001AB0309003D00096070B2040000G7008900FD00009CF0BA000E00005312AF9C00004E7000802D00000C5A0F000706000A00D08000E08000F0009000,78GFE3CD9B6A142532D4BA1GEC5F7896C9517246DG38AFBE6ABE59F817423GCDAB29DGE753F1864CDE6514ABC287G9F31C73986F4EBG25DA8F4G3C52A69DEB17E7F865D421ABC3G9G13DCE896F75B2A4B5A6G72389C4FDE1249CF1BA3DGE67585312AF9CG8D64E7B968B2DGE741C5A3FFGC74635BAE9D1824DEA8B71F5239C6G
8F000A7D00C3000E0000BC09G6805000C000000000006D80B000F0000A0100002040080000EF0A15095160002004C70DFD0G000E07090040A0000750D0060000000400F81070026B00BA96D00400010300004000050200900E0050070F300000E00600420D0080B000000D000007100000C0890G310E7420400B70000200A906,8F651A7D49C32BGE1423BCE9G68D5F7AC7A9G423BEF56D81BGDEF5867A2143C92647D89BCGEF3A1539516GAF28B4C7EDFD8GC13E57A9B642ABEC2754D3169GF8D594E3F81C7AG26B72BA96DCE4G8F153GC3F4B1A65D2E8976E1852G79F3BDCA4E1763F42AD9C85BG98G2AD65FB471E3C5ACD89BG316E742F43FB7EC1825GA9D6
0BE8G0600D05900C000070E20040D0B0000D008000100002003000D0G00900060G00F0940AC0B7D0D84B0A0G20F00E09C70030000001000003002000000G00CF00910G0ACFD050080000450007800060000000703200000B00800F06000B0G047E0059008G0000A0100300FCE0A0000004A007009B0006F000FC800D60020B50,ABE8G16F7D25943C61G97CE2F843DAB55C7D9483B61AEFG2F234ABD5GCE971862G1EF6945AC8B7D3D84BCA5G23F76E19C75F3EB8D961A24G936A2D174EBG85CFE691BG2ACFD45378BF2G4539178ECD6A4AC5D87132G6F9EB3D87EFC6A59B1G247ED6594B8G3F2CA115B362FCE4ADG89784A217GE9B5C36FDG9FC83AD61724B5E
000003C00060000502D00000E00F7000C9000040D000A00E00BE0008070030000B00DGE053F006000E00100BC2000000107000604000000A8F403050A6900017E0F8600001AB0309003D00096070B2040000G7008900FD00009CF0BA000E00005312AF9C00004E7000802D00000C5A0F000706000A00D08000E08000F0009000,78GFE3CD9B6A142532D4BA1GEC5F7896C9517246DG38AFBE6ABE59F817423GCDAB29DGE753F1864CDE6514ABC287G9F31C73986F4EBG25DA8F4G3C52A69DEB17E7F865D421ABC3G9G13DCE896F75B2A4B5A6G72389C4FDE1249CF1BA3DGE67585312AF9CG8D64E7B968B2DGE741C5A3FFGC74635BAE9D1824DEA8B71F5239C6G
0C080D5020000E9A5000F04001063C000630GCE9000000000DE030200B0476080003000E0600501B10F00000405009000B8G070510FE6043E000008FB9000D00000970008A0000000F40E00000020700000048930C00006200B0000A000003C1F0000500604C0800000200C0D7A0F00GA0C000000G00007640D090GB00000A05,BC186D572F3G4E9A592AFB48E1763CGD7634GCE9A8D51B2FGDEF3A21CB947658C47329DEG68A5F1B1AFDB36G425789EC9B8GC7A51DFE6243E265148FB9C3GDA72359761C8AEBDGF46F4CEGBD3512A789DEA148937CGFB5628GB752FA946DE3C1F1GBA572634C98DE35928EC6D7A1F4BGA8CEDF345GB9217647D691GBFE28CA35
A0000005C09000B000216E0BD00G000009B8D0F0000000A1D00E00000F8000920D06BCA050000G0000050G0308000700000010E60000F500F00080200010B00A03025061FD0800G4000D0400730080000014003F000A720DE80000000000C600007000000A0C000G0000G60E00F3008CB00000D9E1450070010A0208907D4F0E,AF4G2385CE916DB7C5216E9BD7AG384F39B8D7FC4652GEA1D76E4A1G3F8B5C924D96BCA7523FEG1812A5FG4368BED7C98BG719E6ACD4F523FCE3852DG917B46A73C25B61FDE8A9G49A5DE4C273G681FBG614983FB5CA72EDE8FB7DGA1429C6352E7F31548A6C9BDG54D9G67E2BF31A8CBG8CAFD9E1452376613AC2B89G7D4F5E
0B0D2F0EA0G0000000CA05000040E00070060CG00050D000040000A10B80050900000000E0000470068G0000009F0020037F605CB002008090AED0B8C400500FG0010D008C0000640040E0009000000C0D00B00050E023G0050300100FD7000AE0000A9000607C000A90860F000040D56000700D0000F0E008000EC0000A09B6,3B5D2F8EA9GC67418GCA95D63741EBF279164CGBF25ED8A3F4E237A16B8DG5C951BCF92GE638A47D468GA3E7D59FC12BD37F645CBA129G8E92AED1B8C47G563FGE215D798CA3BF64A748E2F39GB61D5CCDF9B86A51E423G7B563CG142FD78E9AEFDBGA9243657C181A97863FGECB42D56C357B4D1829FAEG28G41EC57DFA39B6
5A0D0F060020000BE009CG5000308F001683000007000400002C38401090E0A00005A071000000000C7000GE0350204FD1904000000B7C00006B0000A00000G0ABDG73008CE05002000000CF9G00B000475E02000A000G00000000000605AD08000005000401F0870000970C35000200000004F0200E905D000000E0000D000G,5AGD1F964E2837CBE4B9CG576D3A8F211683EB2A57FCG4D97F2C384D1B9GE5A6G245AD71EFC968B38C7AB9GED356214FD19F4635G28B7CEA3E6BFC82A147D9G5ABDG73198CE456F268315ACF9GD2BE74475ED268FAB31G9CF9C2GEB47615AD389DE625ABC4G1F387BGA897DC356F421EC31764FG28AE9B5D25F481E3B97DCA6G
001008A00070CB0090B06000A580F10050040017D00000302A68C0004001D750000G70300EF4A0050105006000C00GD0ECDB800A0002104000000001800069E000000050G06000000BC02000F003501003E000B05209000006000F04B8E00D7000009108000700BE0E9000GC0F000000000100000040G3004F200B00009080A0,3D1E48A59G7FCB2697BC62D3A58EF1G45GF4B917DC26E83A2A68CGEF4B31D759698G7D3B1EF4A2C5A145FE6279CB3GD8ECDB859A63G21F47F237GC418A5D69EB14AFD359G76CBE827BC9268EF4D35A1G83EDA7BG521946FCG6521FC4B8EA9D73C5G691F83DA724BEDE9A34GC2FB87561B871EA2DC645G39F4F235B76E19G8CAD
D000005009GE400B0B7000000F0A0C009GF60008000D0170200100004850000A30100000900G07068005EC0020AB034G04GA060D00C502B0B00200003400000D00000BG7E0060FD8A260050F004000000000D430F000000E0FBD0000000900510000000E0004A00300306009C020D0000000010000800GC0000053406D00B827,D8AC1F5279GE463B5B74GDE31F6A8C929GF64AC8B23DE17523E1796B485CGDFA3C1FB2A49EDG578687D5EC9126ABF34GE4GA36FD87C512B9B6928G7534F1CAEDC943ABG7E5162FD8A26E951FD3487BGC7158D43CFGB269AEGFBD2E86AC793451FD8BC72EG194A563453G68B9CA27DE1F6E27F1DA5B839GC41AC9534G6DEFB827
1006DCB00000FA5800G001F0000A20060E00790A0800DCB0000000500010E40030001FA00B00000509002E034A00B000000C009B0ED0A004BG0F0000000C0000C0003800B050497A0500400F37000E000F08E00D90600B0C000G0009800E30DFE000000000000F0040670000EF00C00D0B000000040007809D000700A0CB124E,1296DCB473EGFA5874GD81FEC5BA2396FE5379GA2846DCB18ACB6352F91DE4G736E41FACGB987D2559D12E834AF7B6CG287CG69B5ED3A1F4BGAF54D7612C98E3C12E386GBD5F497AD5B94ACF37G18E62AF38E57D9264GB1C674GB2198CAE35DFEC12AG48D6795F3B43679B21EF85CGADGBFACDE5143267899D85F736AGCB124E
AFG090EC08400700400500D8B900C00E7602B00A0GF00093E00920070300B0A0001002A0009300F0B4FA000G100060050E000D0B00000A070903F00007E0000850A07C604F00EB000DC0E0000000F000000000000E0000790B00000080000C0D9004000000C0AEDF0G0D600902300040006FC07D0054000000700001000B0820,AFGB93EC2846D7514135GFD8B97AC26E76D2B15ACGFE8493EC892647D315BFAGC71852AE6B93GDF4B4FA873G1C2D69E5GE261D9B548F3AC7D953F4C6A7EG21B858AG7C634FD9EB126DC7E91435B2FG8A2341DB8FGEAC5679FB9EAG2581674C3D95B438G276C1AEDF1GED6AB9F238754C826FCE7D9A5413GB3A7C45F1EDGB9826
000A0G020B76C08005E0700000C1630AD0090A0B0E0510000600F00000A090B0000D00003009A450E000001F05B0D20000008306000000000CB0000G000007F86000DC004057000007500000800D0F0C090F0800EC000B0D0E080960000A7000B0A01600F90040008F00070002D0E0005070B0900AE000039D0CE03007G80100,14FA3GE29B76CD8525EB7D89GFC1634AD3C96A4B2E851G7FG687F1C5D4A39EB2F16DCEB73829A45GE893A41F75BGD2C67AG58326CD4FB9E14CB295DGA61E37F86B2GDCF143578A9E3754GBAE819D2F6CA91F5874EC62GB3DCED82963BGFA7514B2AE165DF93C48G78F3147GC52DBE6A95G76B2981AE4FCD39D4CEF3A67G8512B
9000000000F0072000000AB0800000040F06DG0072050E0103A0C780G0D10B60027AB00D0098000C00050600E00F2000B00F0023000080E0G008F0000467091B00F140905C0B0000A0D3000E0710G000000000609FG000C02EC0001000A4000000006800C90010D0072E0C0000000A00005C0000A03E008F000009EB000D7003,9CGDE541B6FA372851E72AB683C9DGF48FB6DG397245CEA143A2C78FGED19B65E27AB15D3G986F4CC4159678EDBF23GAB69FG4231A5C8DE7GD38FEAC2467591B6GF143925CEBA87DA5D38FCE6712G4B97B845D6A9FG3E1C22EC97B1GD8A4F5363A4B68F5C97G12DE172E3CD4F586BA9GD95C12G7AB3E468FF86GA9EB412D7C53
0460020E000A10903900000750000A00G0050A69023807008000G0DFC0E00300018005002090G00E004F0810AG509000000A0300460D02000EB2007D03000040E0A004000DFC005000F000200780000G50000E08002000390300000010000B60100800F3040000000F3B06410ED080200050A00G00000007000D000000C6490A,F46C523E7BGA189D39DEBC875F612AG4GB154A69D238C7EF8A27G1DFC9E453B6D18365A42C9BGF7EC74F281BAG5E96D395GAF3EC467DB2816EB29G7D831FA54CE8A934G6BDFC7152B6F41925E783DCAG5DC17EB86A2GF439237GDFCA1549EB681298E7F3G4A56DCBAF3BC6419ED78G254C56AD9GF8B23E177GED8B5231C649FA
03007080001000DE0008E0027500G04B0100000000B00C05005C0403G00002000500000009C0F002000060E40008D030400E32900D0000011000GC084060B09054D0000B0603A00709E0F03G008C050600000000F00000100G60907050A0EDC0C0005B0080D61G200020001E00407008A0G50000070006008000200090000BE0,G3AB7985C4126FDEDF98E6C2753AG14BE142ADGF68B93C75675C14B3GFED82A93586B1D7A9CEF4G29ABG6FE42158D73C4CFE329ABD7G5861127DGC58436FBE9A54DFCE2B16G3A98779E1FA3GD28C45B6B8CA456DFE97231G2G6398715BA4EDCFCE375BF98AD61G24F629DG1E3C4B7A58ABG5834CE72196FD8D1427A69GF5CBE3
0000E000A0D5800000300D650010BC090829F0000C07100G00D00B00040000000506D00100E39G0B0081000E602000A52A0G90000D000F06C90B86005F0A00300000400025C00007000000D00E0F00600200070G0000000E0C0809200000000100A000F07001E00C06001407080D0050400500BAE0907600D0B23CE900000400,B46CEG12A9D5837FAE3F7D658G12BC495829FA43BC671EDGG1D7CB9834FE652AF546D2A1C7E39G8B3D81GFCE6B2947A52A7G935B1D84CFE6C9EB86745FGAD132139D4E8625CBGAF77BGA51DC9E3F286462F4B73GD1A859CEEC58A92F467G3DB18GA365FD7241EB9C96CE14G7F8BDA2534F1528BAE39C76GDD7B23CE9GA56F418
00C0006003B2700F0D0000GC600F81A000F0902000000C00E000000700486D05008000004GA90600F00080100E0094G0D0E0FG0302000008000A0092000000B000D00009F08B0AC0000C000B0A260E0000000FED5700B900000B073A00DEF006904D067030E00000000F3C0090000000000E00B0000DA5028070E0D004FC0B00,15C8AD64E3B27G9F7D24BEGC659F81A3A6F398257D1G4CEBE9BG13F7AC486D25B38175CE4GA926FDF7528B16DEC394GAD4E9FGA3B261C758CG6AD4928F5713BE3ED76249F18B5ACG4F9C518BGA26DE37G2A6CFED5734B981581BG73AC9DEF2469A4D26783BE5GF1C2BGF3C51967AE8D46C3E49BF18GDA5728175EADG24FC3B69
0007FCE008A0D05B2B6CD0047F00E030E0000003100000000F840706000C001002007000DA05086000700BF0819000205G000960000F00000040080E00B07FD0803000D0EG61B000059600C003800002BA0000005000000E0000000000C0A00D00D010A060E32780000E000B00D0C00076050009F00000430000CF0502091000,13G7FCE298A6D45B2B6CD1947F5GEA38E95A8GB31D246CF7DF84A756BE3C921GF2EB731CDAG548696D734BFA819E5G2C5GA8296DC74F3EB1C14958GE36B27FDA87329ADFEG61B5C44596BEC7A38DF1G2BACDG62154F7839EGEF1354829CBA67D9CDF14AG6BE32785341E627BG5D8C9AF7625ED89FC1AGB43A8BGCF3542791DE6
0001624000C0A08E8BF69000000040G02000007030000DF5EAD0F50B001030600F1GD000EB040A0000B0E91008307040C5030000000100E000000C0400501390BC8000E0F165G0000069CF300A4000080D5000008000000F04E0000000G0000900700060008F04500000000A0070D000DG0B40CF0000000A00200B070C090000,5731624D9FCGAB8E8BF693AC57DE42G129G48E7136BACDF5EADCF5GB421839679F1GD783EB245AC662BDE915A83C7F4GC543GA2679F1B8ED78AEBCF46G5D1392BC82ADE9F165G734G169CF32DA47E5B83D5714BG8E926CAFA4EF7658C3GB21D9137A2G6EBD8F945CFEC5389A1476DG2BDG9B41CF25E3867A46285BD7GCA9FE13
F900000503200C010G40AE300900502000000009G000D0072E007000005A000G9000D000100FE00B000080F000E92746140000A0C70BG09DB000EG000DA0000800F64080AG0070000000256G0F0703097304000000006G00000000000008020A000102E0B000FD600D090451700000B00000037A000005003650080D42900000,F9A7BDG563248CE1CG4BAE38D971562F65831F29GCBED4A72E1D7C46F85AB93G9862D7C314GFEA5BGADC81FB35E92746143E56A2C78BGF9DBF75EG942DA631C8D2F6498EAGC37B15A1B8256GEF47C3D97394CA1F5BD26G8E5CEG3BD7916842FA87G192ECBA35FD64ED29G45176FCA8B34BCF637A8E1D95G2365AF8BD429G1E7C
0AE0G00000F000D78DB300000E004500F040051B900A06005000D800C20090000C90B3080000006000054GAD700000F0000450F00B0G000000002C00090ED05400300904070C000008DE0000000B000CC9F7E00000060800040BF002000D67310E000100ACD800G00000900060040280AB00006000E9F000060D820CF0005000,9AECG426B3F581D78DB3AF97GE6145C2F742C51B9D8A36EG5G16D83EC2479FAB7C91B3E8D45F2G6AE3854GAD7612BCF9D2A456F93BCG1E78BF6G2C7189AED354213A698457GCEDBF68DE17G54F3BA92CC9F7EBD31A26G845G45BFAC2E89D67314E29315FACD87BG635GF9EBA6174C28DABC87D6G25E9F413167D824CFGB35A9E
9000G400030580000D00A09000004000F7400500000A300G5010003002400F007C00B308D05F2000008040007000BC00D20056F9000000780000200100000350010A600050GC00B0000E10004F00A020C9F700D000200000G4500AC0E09D00014E00000F0C007B0000G090B0610002800B080D0G200004000000800CF0B05A90,9AECG426B3F581D78DB3AF97GE6145C2F742C51B9D8A36EG5G16D83EC2479FAB7C91B3E8D45F2G6AE3854GAD7612BCF9D2A456F93BCG1E78BF6G2C7189AED354213A698457GCEDBF68DE17G54F3BA92CC9F7EBD31A26G845G45BFAC2E89D67314E29315FACD87BG635GF9EBA6174C28DABC87D6G25E9F413167D824CFGB35A9E
1000F000090000000F00000020CD000004E0A09380B000000000D70000E060F50004000000F00DB00D06030GB0008E909080004600000570C0A0000500284000FEC00A096240008BA90008000000D62340300B0EC0D00F00D0B0000F709AC00E03150E700009F8A02A7069C00F00E000000000B00000005000F04031D6A00C00,15DBF4E23967GAC87F6A8G5B21CD39E4G4ECA69385BF71D28293D71CGAE46BF531G492875EF6ADBC5D2613AGB47C8E9F9B8FEC46AD31257GC7AEBDF59G284361FEC13AD9624G578BA957C8G4FB1ED6234G327B6EC8D59F1AD6B8512F739ACG4EB3152E7D4CG9F8A62A7G69C81F5BE43D6C4DGFBAE7831259E8F94531D6A2BCG7
A07E00000050000C00000000F280009000000002600G0B0ED0B060E0AC900050E0200000C0B00009061000G4090F0D8A009A0C0B40D0E70G00D000018702C6FB3000796000100ED00701D30000000504G50C00A004ED00000000040000GCF0080C0090000EF00AB00800B6C30A0900000000E000D048000000F0A008000B4907,A27EGDF91B54386C61C345BAF28E7G9DF958C1326D7GAB4ED4BG68E7AC93125FEF278AD6CGB15439C61B57G4E93F2D8A839AFC2B45D6E71G4GD53E9187A2C6FB3A4F796CB815GED227E1D38G9F6AB5C4G58C1BAF24ED9376BD69245E73GCF1A81C36924DGEF78AB578G4B6C35A29DFE19BA2EF75D1486CG35EFDAG1836CB4927
07D009000008A050B6200F0E0C017040F000000500A0B00DC00A0000370200000C00500600000008000D0A00B070000E000FCBE0090000D07E00030DA08000F40DB100C000000005G004A009031700E602006D0100F098C000608730500GF0B00B000E00010F0D6A0002F0000035400BAF030002D6000C00000E00000AG05009,47DG2913FB68AE5CB628DFAE9C51734GF3197C854GAEB62DC5EA4G6B37D2891F2C9B5146GFED37A8143DGAF8B276C59E8A5FCBE719436GD27EG6932DA58C1BF43DB1E2CF689AG475G8F4A5B9C317D2E652A76DG1E4FB98C3E96C87345D2GFAB19B453E7G81CF2D6ADGC2F69A7E35418BAF831452D6B9ECG7617EB8DC2AG45F39
B000000F000000D00G720EA000B010C600008D400C050A0003000060009A040F4D3C00000000F0G7200000000700CE0000E00380B6FD00900506000DC00408000650000A70020D3000000098500BG00E7A0E10G0000C0900000G30076E0F0B58C00D0A0B0F09E00007096F1000DE000B00F007C500000009006590DE00000000,B9A4CG7FE16382D5DG725EA9F4B813C66E1F8D432C759ABG53C8B261DG9A74EF4D3CE9B285A1F6G72F8BA456973GCE1DA1E7G38CB6FD2594G59671FDC2E4B8A38651FBEA79G24D3CFC23D6985A4BG17E7ABE15G43D8C69F294DG3C276E1FAB58C8GD2A3B4F59E76137496F1GA8DE5C2BEBFA47C51326DG89126598DEGBC73F4A
A07E00000050000C00000000F280009000000002600G0B0ED0B060E0AC900050E0200000C0B00009061000G4090F0D8A009A0C0B40D0E70G00D000018702C6FB3000796000100ED00701D30000000504G50C00A004ED00000000040000GCF0080C0090000EF00AB00800B6C30A0900000000E000D048000000F0A008000B4907,A27EGDF91B54386C61C345BAF28E7G9DF958C1326D7GAB4ED4BG68E7AC93125FEF278AD6CGB15439C61B57G4E93F2D8A839AFC2B45D6E71G4GD53E9187A2C6FB3A4F796CB815GED227E1D38G9F6AB5C4G58C1BAF24ED9376BD69245E73GCF1A81C36924DGEF78AB578G4B6C35A29DFE19BA2EF75D1486CG35EFDAG1836CB4927
00F900E0008000024260C00000D00F000CA00010G0007300500G6800B00F0EAD039000C041B0D50700010054806GB00A0705008000A0004000040907C030100G2000FC307E06G0150E8000000B000006G00CA00000000079007B00000010000070000A0E1800240B00E0B1F0040A0G0300000609000350000D20400005000701,DBF934EGAC8761524267C5BAE3D19FG88CAE9D1FG65273B4513G6872B94FCEADA392GFC641BED587CFD1E254876GB93A67G51B8392ADFC4EE8B4D9A7CF35162G2A4DFC3B7E96G8151E8F27953BG4ADC6G65CAE41FD283B79397B8G6D5A1C42EF7GC35ADE18F9246B95E6B1FC247A8GD3B4187629DGE35AFCFD2A43G865CBE791
